id,thedate,comp_name,comp_code,open,low,high,lastDone,chg,chgPercent,vol,buy,sell
2839,26-Feb-19,MAGNUM BERHAD,MAGNUM,2.33,2.32,2.38,2.35,0.03,1.29,"31,366",2.340 / 183,2.350 / 45
2840,26-Feb-19,MAH SING GROUP BHD,MAHSING,1,0.99,1.01,1,0,0,"10,286",1.000 / 649,1.010 / 134
2841,26-Feb-19,MAHSING-C17: CW MAH SING GROUP BERHAD (MACQ),MAHSING-C17,-,-,-,0.04,0,0,0,0.000 / 0,0.000 / 0
2842,26-Feb-19,MAHSING-C18: CW MAH SING GROUP BERHAD (RHB),MAHSING-C18,0.03,0.03,0.03,0.03,0,0,500,0.000 / 0,0.000 / 0
2843,26-Feb-19,MAHSING-C19: CW MAH SING GROUP BERHAD (KIBB),MAHSING-C19,-,-,-,0.035,0,0,0,0.000 / 0,0.000 / 0
2844,26-Feb-19,MAH SING GROUP BERHAD - WARRANTS C,MAHSING-WC,0.02,0.02,0.02,0.02,0,0,"6,000","0.020 / 10,017","0.025 / 19,357"
2845,26-Feb-19,MALAKOFF CORPORATION BERHAD,MALAKOF,0.93,0.91,0.935,0.91,-0.025,-2.67,"50,699","0.910 / 5,615","0.915 / 1,887"
2846,26-Feb-19,MALAKOFC12: CW MALAKOFF CORPORATION BERHAD (MACQ),MALAKOFC12,-,-,-,0.005,0,0,0,0.000 / 0,"0.020 / 1,690"
2847,26-Feb-19,MALAKOFC13: CW MALAKOFF CORPORATION BERHAD (RHB),MALAKOFC13,-,-,-,0.01,0,0,0,0.000 / 0,0.000 / 0
2848,26-Feb-19,MALAKOFC14: CW MALAKOFF CORPORATION BERHAD (KIBB),MALAKOFC14,-,-,-,0.025,0,0,0,0.000 / 0,0.000 / 0
2849,26-Feb-19, MALAKOFC15: CW MALAKOFF CORPORATION BERHAD (CIMB),MALAKOFC15,0.035,0.035,0.035,0.035,0,0,"1,700","0.010 / 1,000",0.055 / 312
2850,26-Feb-19,MALAKOFC16: CW MALAKOFF CORPORATION BERHAD (MACQ),MALAKOFC16,0.035,0.03,0.035,0.03,-0.005,-14.29,"1,940",0.005 / 200,0.030 / 310
2851,26-Feb-19,MALAKOFC17: CW MALAKOFF CORPORATION BERHAD (MIBB),MALAKOFC17,-,-,-,0.09,0,0,0,0.000 / 0,0.000 / 0
2852,26-Feb-19,MALAKOFC18: CW MALAKOFF CORPORATION BERHAD (RHB),MALAKOFC18,0.07,0.065,0.07,0.065,-0.01,-13.33,"4,098","0.060 / 3,540",0.070 / 700
2853,26-Feb-19,MALAKOFC19: CW MALAKOFF CORPORATION BERHAD (MACQ),MALAKOFC19,0.125,0.125,0.125,0.125,-0.005,-3.85,"6,220",0.000 / 0,0.130 / 100
2854,26-Feb-19,MALPAC HOLDINGS BHD,MALPAC,-,-,-,0.86,0,0,0,0.780 / 50,1.140 / 50
2855,26-Feb-19,MALTON BHD,MALTON,0.545,0.52,0.545,0.53,-0.015,-2.75,"14,618",0.525 / 460,"0.530 / 1,985"
2856,26-Feb-19,MANULIFE HOLDINGS BERHAD,MANULFE,-,-,-,2.5,0,0,0,2.510 / 50,2.790 / 10
2857,26-Feb-19,MARCO HOLDINGS BHD,MARCO,0.12,0.12,0.12,0.12,0,0,50,"0.120 / 22,344","0.130 / 7,425"
2858,26-Feb-19,MALAYSIA STEEL WORKS (KL)BHD,MASTEEL,0.495,0.465,0.495,0.465,-0.025,-5.1,"14,076","0.465 / 1,591",0.470 / 5
2859,26-Feb-19,MASTER-PACK GROUP BERHAD,MASTER,0.63,0.62,0.63,0.625,0,0,700,0.620 / 310,0.625 / 21
2860,26-Feb-19,MATANG BERHAD,MATANG,0.07,0.07,0.07,0.07,0,0,"1,510","0.070 / 127,228","0.075 / 134,968"
2861,26-Feb-19,MATRIX CONCEPTS HOLDINGS BHD,MATRIX,1.96,1.95,1.98,1.97,0,0,"6,459",1.960 / 440,"1.970 / 2,259"
2862,26-Feb-19,MATRIX CONCEPTS HOLDINGS BERHAD - WARRANTS A,MATRIX-WA,0.15,0.14,0.15,0.15,-0.005,-3.23,"4,323",0.140 / 862,"0.150 / 1,125"
2863,26-Feb-19,MAXIS BERHAD,MAXIS,5.5,5.34,5.5,5.43,-0.1,-1.81,"25,655","5.410 / 5,463","5.430 / 1,204"
2864,26-Feb-19,MAXIS-C8: CW MAXIS BERHAD (MIBB),MAXIS-C8,-,-,-,0.065,0,0,0,0.000 / 0,0.000 / 0
2865,26-Feb-19,MAXIS-C9: CW MAXIS BERHAD (KIBB),MAXIS-C9,0.055,0.055,0.055,0.055,-0.015,-21.43,600,0.000 / 0,0.000 / 0
2866,26-Feb-19,MAXWELL INT HOLDINGS BERHAD,MAXWELL,-,-,-,0.01,0,0,0,0.000 / 0,0.000 / 0
2867,26-Feb-19,MAXWELL INTERNATIONAL HOLDINGS BERHAD - WA 2015/2020,MAXWELL-WA,-,-,-,0.005,0,0,0,0.000 / 0,0.000 / 0
2868,26-Feb-19,MALAYAN BANKING BHD,MAYBANK,9.56,9.53,9.59,9.55,0.01,0.1,"221,890",9.540 / 883,"9.550 / 25,526"
2869,26-Feb-19,MAYBANKC43: CW MALAYAN BANKING BERHAD (CIMB),MAYBANKC43,-,-,-,0.095,0,0,0,"0.090 / 12,000",0.095 / 350
2870,26-Feb-19,MAYBANKC44: CW MALAYAN BANKING BERHAD (MACQ),MAYBANKC44,-,-,-,0.025,0,0,0,0.000 / 0,0.015 / 300
2871,26-Feb-19,MAYBANKC45: CW MALAYAN BANKING BERHAD (AM),MAYBANKC45,-,-,-,0.065,0,0,0,0.000 / 0,0.000 / 0
2872,26-Feb-19,MAYBANKC46: CW MALAYAN BANKING BERHAD (CIMB),MAYBANKC46,0.015,0.015,0.02,0.02,0.005,33.33,"8,100","0.015 / 6,950","0.020 / 8,863"
2873,26-Feb-19,MAYBANKC47: CW MALAYAN BANKING BERHAD (RHB),MAYBANKC47,-,-,-,0.035,0,0,0,0.000 / 0,0.000 / 0
2874,26-Feb-19,MAYBANKC48: CW MALAYAN BANKING BERHAD (MACQ),MAYBANKC48,0.035,0.035,0.035,0.035,-0.015,-30,"2,540","0.015 / 1,000","0.035 / 1,960"
2875,26-Feb-19,MAYBANKC49: CW MALAYAN BANKING BERHAD (MACQ),MAYBANKC49,0.12,0.12,0.125,0.12,0,0,"1,800",0.120 / 100,0.125 / 200
2876,26-Feb-19,MAYBANKC50: CW MALAYAN BANKING BERHAD (RHB),MAYBANKC50,0.115,0.11,0.115,0.115,0,0,"1,274",0.000 / 0,0.120 / 450
2877,26-Feb-19,MAYBANKC51: CW MALAYAN BANKING BERHAD (KIBB),MAYBANKC51,0.115,0.11,0.115,0.115,0.005,4.55,"4,605","0.110 / 1,270",0.120 / 770
2878,26-Feb-19,MALAYSIAN BULK CARRIERS BHD,MAYBULK,0.7,0.645,0.715,0.645,0.05,8.4,"101,292","0.640 / 2,025",0.645 / 137
2879,26-Feb-19,MINTYE BERHAD,MBG,-,-,-,0.8,0,0,0,0.800 / 30,0.900 / 30
2880,26-Feb-19,MUAR BAN LEE GROUP BERHAD,MBL,1.04,1.01,1.08,1.08,0.01,0.93,"4,914",1.040 / 50,1.080 / 297
2881,26-Feb-19,MUAR BAN LEE-WARRANTS 12/22,MBL-WA,-,-,-,0.345,0,0,0,0.270 / 100,0.345 / 352
2882,26-Feb-19,MBM RESOURCES BHD,MBMR,2.58,2.55,2.64,2.58,0,0,"2,184",2.570 / 30,"2.580 / 1,979"
2883,26-Feb-19,MALAYSIA BUILDING SOCIETY BHD,MBSB,1.05,1.03,1.06,1.03,-0.02,-1.9,"19,129","1.030 / 11,230",1.040 / 879
2884,26-Feb-19,MBSB-C14: CW MALAYSIA BUILDING SOCIETY BERHAD (MACQ),MBSB-C14,-,-,-,0.005,0,0,0,0.000 / 0,0.000 / 0
2885,26-Feb-19,MBSB-C15: CW MALAYSIA BUILDING SOCIETY BERHAD (CIMB),MBSB-C15,-,-,-,0.02,0,0,0,"0.015 / 4,000","0.020 / 3,005"
2886,26-Feb-19,MBSB-C16: CW MALAYSIA BUILDING SOCIETY BERHAD (MIBB),MBSB-C16,0.08,0.08,0.08,0.08,-0.01,-11.11,"5,964",0.000 / 0,0.000 / 0
2887,26-Feb-19,MBSB-C17: CW MALAYSIA BUILDING SOCIETY BERHAD (CIMB),MBSB-C17,0.07,0.065,0.07,0.065,-0.01,-13.33,504,0.065 / 598,0.080 / 600
2888,26-Feb-19,MBSB-C18: CW MALAYSIA BUILDING SOCIETY BERHAD (MACQ),MBSB-C18,0.07,0.07,0.07,0.07,-0.005,-6.67,"6,000",0.000 / 0,0.000 / 0
2889,26-Feb-19,MBSB-C19: CW MALAYSIA BUILDING SOCIETY BERHAD (KIBB),MBSB-C19,0.075,0.075,0.075,0.075,-0.005,-6.25,"2,000",0.000 / 0,0.000 / 0
2890,26-Feb-19,MBSB-C20: CW MALAYSIA BUILDING SOCIETY BERHAD (MACQ),MBSB-C20,0.035,0.035,0.035,0.035,0,0,"3,300","0.030 / 1,000",0.045 / 500
2891,26-Feb-19,MB WORLD GROUP BERHAD,MBWORLD,-,-,-,1.69,0,0,0,1.610 / 200,1.700 / 622
2892,26-Feb-19,MCE HOLDINGS BERHAD,MCEHLDG,-,-,-,0.59,0,0,0,0.540 / 100,0.590 / 98
2893,26-Feb-19,MCLEAN TECHNOLOGIES BERHAD,MCLEAN,0.105,0.1,0.105,0.105,0,0,"1,000","0.100 / 2,950","0.110 / 1,000"
2894,26-Feb-19,MCLEAN TECHNOLOGIES BERHAD-WARRANTS B 15/20,MCLEAN-WB,-,-,-,0.035,0,0,0,"0.015 / 2,100","0.035 / 1,080"
2895,26-Feb-19,MCT BERHAD,MCT,-,-,-,0.66,0,0,0,0.595 / 120,0.660 / 41
2896,26-Feb-19,MEDA INC. BHD,MEDAINC,0.285,0.285,0.295,0.285,-0.015,-5,"11,260","0.280 / 2,000",0.290 / 135
2897,26-Feb-19,MEDA INC. BHD-WARRANTS 11/21,MEDAINC-WA,-,-,-,0.095,0,0,0,0.055 / 400,"0.090 / 1,000"
2898,26-Feb-19,MEDA INC.BHD-WB 2012/2022,MEDAINC-WB,-,-,-,0.025,0,0,0,"0.015 / 12,380",0.020 / 500
2899,26-Feb-19,MEDA INC. BHD- WARRANTS C 14/24,MEDAINC-WC,-,-,-,0.03,0,0,0,"0.020 / 4,400",0.030 / 990
2900,26-Feb-19,MEDIA PRIMA BHD,MEDIA,0.435,0.425,0.44,0.435,0,0,"9,935",0.430 / 511,"0.435 / 1,663"
2901,26-Feb-19,MEDIA CHINESE INTERNATIONAL LT,MEDIAC,0.24,0.225,0.24,0.225,-0.025,-10,"27,491","0.225 / 1,656","0.230 / 2,110"
2902,26-Feb-19,MEGA SUN CITY HOLDINGS BERHAD,MEGASUN,0.165,0.165,0.165,0.165,-0.005,-2.94,197,0.160 / 200,0.180 / 270
2903,26-Feb-19,MEGA SUN CITY HOLDINGS BERHAD - WA 14/19,MEGASUN-WA,-,-,-,0.065,0,0,0,0.060 / 100,0.065 / 895
2904,26-Feb-19,MELATI EHSAN HOLDINGS BHD,MELATI,0.48,0.48,0.5,0.5,0,0,100,0.460 / 30,0.500 / 210
2905,26-Feb-19,MELEWAR INDUSTRIAL GROUP BHD,MELEWAR,0.115,0.115,0.12,0.12,0,0,"3,130","0.115 / 2,050","0.120 / 1,459"
2906,26-Feb-19,MELEWAR INDUSTRIAL GROUP BERHAD - WARRANTS B 2018/2023,MELEWAR-WB,-,-,-,0.045,0,0,0,0.045 / 350,"0.055 / 1,244"
2907,26-Feb-19,MENANG CORPORATION (M) BHD,MENANG,0.37,0.37,0.39,0.39,0,0,50,0.385 / 105,0.400 / 16
2908,26-Feb-19,MENANG CORPORATION (M) BHD-WARRANTS B 14/19,MENANG-WB,0.01,0.01,0.01,0.01,0,0,"9,286","0.010 / 11,564","0.015 / 23,811"
2909,26-Feb-19,MENGNIU-C2: CW CHINA MENGNIU DAIRY COMPANY LIMITED (RHB),MENGNIU-C2,0.185,0.175,0.185,0.175,-0.01,-5.41,"19,272",0.000 / 0,0.000 / 0
2910,26-Feb-19,MENTIGA CORPORATION BHD,MENTIGA,-,-,-,0.45,0,0,0,0.455 / 20,0.510 / 50
2911,26-Feb-19,MERCURY INDUSTRIES BHD,MERCURY,-,-,-,0.88,0,0,0,0.885 / 3,0.940 / 18
2912,26-Feb-19,MERGE ENERGY BHD,MERGE,0.89,0.89,1.15,1.08,0.19,21.35,"10,622",1.080 / 298,1.090 / 80
2913,26-Feb-19,MESB BHD,MESB,-,-,-,0.285,0,0,0,0.260 / 100,0.285 / 140
2914,26-Feb-19,MESB BERHAD - WARRANTS 2017/2022,MESB-WA,0.075,0.075,0.075,0.075,-0.005,-6.25,100,0.075 / 812,0.085 / 998
2915,26-Feb-19,MYETF THOMSON REUTERS ASIA PACIFIC EX-JAPAN ISLAMIC AGRIBUSINESS,METFAPA,-,-,-,1.04,0,0,0,1.020 / 330,1.050 / 10
2916,26-Feb-19,MyETF MSCI SEA ISLAMIC DIVIDEND,METFSID,-,-,-,0.845,0,0,0,0.840 / 330,0.842 / 20
2917,26-Feb-19,MYETF DOW JONES U.S. TITANS 50,METFUS50,1.035,1.035,1.035,1.035,0.015,1.47,1,1.035 / 329,1.075 / 330
2918,26-Feb-19,METROD HOLDINGS BERHAD,METROD,1.7,1.7,1.7,1.7,0,0,12,1.650 / 20,1.750 / 35
