"","rsi","sma","lma","adx","macd","signal","Date","High","Low","Open","Close","Volume","yhat","us_china","trump","malaysia","Score","target_cls","class"
"103",96.2,6.4,6.4,54.7,0.4221,0.2707,"2017-06-05",6.869999886,6.610000134,6.630000114,6.75,20839200,6.474196806,47.71428571,18.85714286,38.28571429,0,0,-1
"104",97.4,6.5,6.4,56.8,0.4441,0.2994,"2017-06-06",6.829999924,6.659999847,6.75,6.739999771,16414800,6.508519131,48.57142857,18.28571429,39.42857143,1,0,-1
"105",96,6.6,6.5,58.8,0.4586,0.3299,"2017-06-07",6.800000191,6.670000076,6.75,6.710000038,20957500,6.54430675,49.42857143,17.71428571,40.57142857,0,0,-1
"106",90.9,6.7,6.6,60.6,0.4699,0.3598,"2017-06-08",6.71999979,6.619999886,6.699999809,6.670000076,19777200,6.57050969,50.28571429,17.14285714,41.71428571,0,0,-1
"107",83.5,6.7,6.7,61.5,0.474,0.3875,"2017-06-09",6.679999828,6.550000191,6.659999847,6.630000114,20974800,6.582952479,51.14285714,15.85714286,42.71428571,0,0,-1
"108",75.6,6.7,6.7,61.4,0.4589,0.4108,"2017-06-13",6.769999981,6.599999905,6.679999828,6.610000134,45231300,6.636827227,50.28571429,15.71428571,41.42857143,0,1,1
"109",70.5,6.7,6.7,61.5,0.4399,0.429,"2017-06-14",6.75,6.630000114,6.630000114,6.730000019,28389500,6.645803387,49.42857143,15.57142857,40.14285714,0,1,1
"110",75.9,6.7,6.7,61.6,0.4048,0.4383,"2017-06-15",6.860000134,6.739999771,6.75,6.760000229,30211600,6.638757467,48.57142857,15.42857143,38.85714286,1,0,-1
"111",75.9,6.7,6.7,62.1,0.3687,0.4379,"2017-06-16",6.78000021,6.730000019,6.769999981,6.730000019,34510100,6.621754733,47.71428571,15.28571429,37.57142857,0,0,-1
"112",68.9,6.7,6.7,62.3,0.3315,0.4278,"2017-06-19",6.730000019,6.650000095,6.730000019,6.670000076,14070900,6.590617036,49.71428571,15.14285714,36.14285714,0,0,-1
"113",57.5,6.7,6.7,61.5,0.2991,0.4117,"2017-06-20",6.699999809,6.619999886,6.670000076,6.639999866,18262700,6.5774248,53.42857143,15.28571429,37.28571429,0,1,1
"114",51,6.7,6.7,60.2,0.2751,0.3913,"2017-06-21",6.679999828,6.619999886,6.630000114,6.650000095,20196900,6.555115951,57.14285714,15.42857143,38.42857143,0,0,-1
"115",49.5,6.7,6.7,59.1,0.2535,0.3673,"2017-06-22",6.699999809,6.619999886,6.670000076,6.650000095,15637200,6.531542451,60.85714286,15.57142857,39.57142857,0,1,1
"116",46.1,6.7,6.7,58.2,0.219,0.3389,"2017-06-23",6.679999828,6.610000134,6.670000076,6.679999828,8934100,6.517929157,64.57142857,15.71428571,40.71428571,0,0,-1
"117",49.6,6.7,6.7,57.2,0.1774,0.3077,"2017-06-26",6.659999847,6.659999847,6.659999847,6.659999847,0,6.512363242,70.57142857,16.28571429,43.28571429,0,0,-1
