"","rsi","sma","lma","adx","macd","signal","us_china","malaysia","Score","class"
"202",28.9,6.2,6.2,34,-0.1174,-0.1209,51.28571429,51.28571429,0,"Down"
"203",26.8,6.2,6.2,33.5,-0.1251,-0.121,53.57142857,50.57142857,0,"Down"
"204",19.5,6.2,6.2,34,-0.1313,-0.1226,55.85714286,49.85714286,0,"Down"
"205",18.7,6.2,6.2,34.7,-0.1355,-0.1258,58.14285714,49.14285714,0,"Up"
"206",15,6.1,6.2,35.3,-0.1362,-0.1288,60.42857143,48.42857143,0,"Up"
"207",21.6,6.1,6.1,35.8,-0.138,-0.1304,63,46.85714286,0,"Up"
"208",32,6.1,6.1,35.4,-0.1386,-0.1307,61,46.71428571,0,"Down"
"209",43.4,6.1,6.1,34.3,-0.1366,-0.1314,59,46.57142857,0,"Up"
"210",44.8,6.1,6.1,33.2,-0.1241,-0.1314,57,46.42857143,0,"Up"
"211",52.1,6.1,6.1,32.2,-0.1061,-0.1302,55,46.28571429,0,"Down"
"212",66.1,6.1,6.1,30.2,-0.0798,-0.1251,49.28571429,45.57142857,0,"Up"
"213",69.3,6.2,6.1,28.4,-0.0506,-0.1162,47.57142857,45.14285714,0,"Down"
"214",76.7,6.2,6.2,27.1,-0.0249,-0.1039,47.57142857,45.14285714,0,"Down"
"215",78.8,6.2,6.2,25.8,-0.0104,-0.0899,45.85714286,44.71428571,0,"Up"
"216",55.8,6.2,6.2,24.4,0.0069,-0.0738,44.14285714,44.28571429,0,"Down"
"217",62.8,6.2,6.2,22.8,0.0186,-0.0563,42.42857143,43.85714286,0,"Down"
"218",55.5,6.2,6.2,21.3,0.0184,-0.0391,42.14285714,42.42857143,1,"Down"
"219",43.7,6.2,6.2,20.5,0.0085,-0.0244,45.28571429,41.85714286,0,"Down"
"220",35.5,6.2,6.2,20.8,-0.016,-0.0144,48.42857143,41.28571429,0,"Down"
"221",23.4,6.1,6.2,21.7,-0.049,-0.0109,51.57142857,40.71428571,1,"Up"
"222",16.2,6.1,6.1,23.4,-0.0624,-0.0123,54.71428571,40.14285714,0,"Down"
